FSscore,KHscore,PPHHSIZE,PPINCIMP,SAVINGSRANGES,agecat,PPEDUC,EMPLOY,FWBscore
44,1.267,1,7,6,8,4,8,55
43,-0.57,2,6,2,3,2,2,51
42,-0.188,3,6,4,3,3,2,49
57,0.242,2,7,5,2,4,2,67
54,1.267,5,7,4,3,4,4,51
35,-0.909,3,4,1,2,1,7,47
58,-0.188,4,7,5,3,1,4,43
42,-0.57,3,8,7,4,2,2,58
66,-0.188,5,6,6,1,3,5,78
57,0.242,2,8,7,6,4,8,62
49,-0.909,4,3,4,1,3,5,50
30,-0.57,3,9,1,2,4,3,40
71,0.712,3,9,7,2,5,2,61
48,-1.215,5,2,5,2,1,2,69
32,-0.909,5,1,2,1,2,7,37
40,-1.215,2,3,3,1,3,2,52
50,0.712,2,9,7,7,5,8,69
38,-0.188,2,8,5,3,3,2,40
41,-1.215,5,6,6,4,4,2,51
54,1.267,1,8,6,6,5,8,61
49,1.267,2,4,3,2,3,2,37
68,0.712,5,7,6,8,4,1,64
51,1.267,1,8,7,8,2,8,80
50,-0.188,2,7,6,4,3,2,63
61,0.242,2,6,5,5,2,2,52
48,0.242,2,6,6,8,2,4,62
35,-0.188,4,2,1,3,2,1,33
42,0.242,2,7,4,2,3,2,45
37,-1.215,4,3,1,2,2,3,33
51,-0.57,5,1,4,1,3,5,54
50,0.242,3,6,1,3,2,1,56
43,-0.909,2,2,2,5,3,2,38
57,0.712,2,9,7,6,3,8,77
76,0.242,5,8,5,4,5,2,57
61,0.242,2,9,6,6,3,8,71
70,1.267,2,3,7,1,5,1,76
60,0.712,2,7,7,6,3,8,52
39,-1.215,4,3,5,2,4,2,51
61,-0.188,2,5,4,4,4,6,30
60,0.712,1,2,4,6,3,1,34
43,0.712,3,6,4,4,3,2,47
27,-1.215,5,3,2,2,4,2,37
64,0.712,2,8,6,5,2,2,71
49,-0.909,3,6,5,2,3,2,47
55,1.267,5,9,3,4,5,2,43
53,0.242,1,5,5,7,5,8,59
56,-0.188,5,7,7,3,5,2,61
64,0.712,2,9,5,5,5,2,69
58,1.267,3,9,5,4,4,1,70
45,-0.57,4,7,4,2,2,2,42
53,-0.188,2,7,6,6,3,8,73
55,0.712,5,9,7,6,5,3,62
56,0.712,1,6,6,3,4,2,52
61,0.712,4,8,7,3,5,2,63
51,-1.215,3,9,4,4,3,2,50
49,-0.188,2,6,7,8,5,8,56
43,-1.713,2,5,5,5,2,3,50
44,-0.57,2,6,6,6,2,2,59
41,0.712,2,9,5,6,2,8,50
37,-0.57,3,5,7,6,3,6,50
44,0.242,4,8,6,3,5,2,56
61,-0.57,3,8,5,3,3,2,59
64,1.267,2,9,6,6,5,8,81
47,0.712,4,9,6,2,4,2,43
55,-0.57,2,3,2,2,1,2,31
48,0.242,2,9,4,4,4,2,52
60,0.242,2,9,7,8,4,8,83
67,1.267,4,8,6,3,4,2,70
57,0.712,2,7,7,7,4,8,72
55,0.242,1,9,5,5,5,1,55
58,-0.188,3,6,4,2,4,2,59
51,0.712,2,8,7,6,5,3,67
79,-1.713,5,1,2,3,2,6,26
42,-0.57,2,8,5,8,2,8,55
77,1.267,2,9,5,8,5,8,86
46,0.712,2,8,5,6,4,2,78
59,0.242,3,9,7,3,4,3,66
56,0.242,4,9,7,2,5,2,62
64,0.712,2,3,7,7,2,8,72
41,0.242,3,9,5,4,5,2,50
62,0.712,2,8,6,6,4,8,67
48,-0.188,3,8,6,3,5,1,61
39,0.242,2,4,1,4,3,2,16
47,0.712,1,5,6,6,3,8,66
44,0.712,2,9,5,6,5,2,57
67,0.712,2,6,5,5,5,2,58
82,0.712,1,1,3,6,3,8,64
52,0.712,5,9,5,4,5,2,63
49,0.242,2,7,5,5,3,2,55
46,-1.215,2,7,6,4,2,2,66
40,-0.909,5,2,1,6,1,6,38
56,1.267,4,8,5,2,5,2,70
25,-0.57,4,7,1,2,2,3,38
51,0.242,2,6,6,7,3,8,64
49,-0.188,1,8,4,2,5,2,55
57,-0.188,2,8,5,7,3,8,70
70,-1.215,4,9,5,1,3,2,62
44,0.712,4,8,4,5,2,3,52
47,0.712,1,3,5,8,2,8,60
66,1.267,3,9,5,4,5,2,53
69,1.267,3,9,4,2,5,2,70
41,-0.57,3,1,2,1,3,7,41
70,-0.57,2,1,2,4,3,2,59
60,-0.188,2,7,6,8,5,8,60
80,0.712,2,8,5,1,4,2,75
49,0.242,3,7,5,6,2,6,57
52,-0.188,2,6,5,7,2,8,60
58,1.267,3,8,5,4,5,2,62
54,0.242,1,3,7,7,5,8,64
68,-0.188,2,6,3,7,3,8,19
66,-0.188,3,2,6,2,4,5,68
39,-0.57,2,3,4,8,1,8,48
56,-0.188,2,6,6,2,4,2,59
